i,j,Lon,Lat,SL,UC,Code,Error
3366,2919,"112,1833333","-7,283333333","197,5076648","190,9999748",13,212
3367,2919,"112,2166667","-7,283333333","203,8837966","197,5195366",13,212
3368,2919,"112,25","-7,283333333","210,0822007","203,8649507",13,212
3369,2919,"112,2833333","-7,283333333","215,9095847","209,8425047",13,212
3370,2919,"112,3166667","-7,283333333","220,8864973","214,9723373",13,212
3371,2919,"112,35","-7,283333333","224,9262292","219,1672992",13,212
3372,2919,"112,3833333","-7,283333333","227,5598706","221,9580706",13,212
3373,2919,"112,4166667","-7,283333333","228,3582338","222,9150138",13,212
3374,2919,"112,45","-7,283333333","228,1824728","222,8988928",13,212
3375,2919,"112,4833333","-7,283333333","227,6547172","222,5313872",13,212
3376,2919,"112,5166667","-7,283333333","226,6719615","221,7090715",13,212
3377,2919,"112,55","-7,283333333","225,6688801","220,8662401",13,212
3378,2919,"112,5833333","-7,283333333","226,0009779","221,3579679",13,212
3379,2919,"112,6166667","-7,283333333","228,495804","224,011414",13,212
3380,2919,"112,65","-7,283333333","232,5084812","228,1813312",13,212
3381,2919,"112,6833333","-7,283333333","236,3146346","232,1429546",13,212
3382,2919,"112,7166667","-7,283333333","238,745699","234,727379",13,212
3383,2919,"112,75","-7,283333333","239,2273384","235,3598984",13,212
3384,2919,"112,7833333","-7,283333333","236,7565462","233,0186279",13,212
3385,2919,"112,8166667","-7,283333333","230,3768358","226,714723",13,212
3386,2919,"112,85","-7,283333333","220,0373813","216,312799",13,212
3387,2919,"112,8833333","-7,283333333","208,0548357","204,0283778",13,212
3388,2919,"112,9166667","-7,283333333","198,34868","193,8506949",13,212
3389,2919,"112,95","-7,283333333","194,0216112","188,9272814",13,212
3390,2919,"112,9833333","-7,283333333","194,9230946","190,0267094",13,212
3391,2919,"113,0166667","-7,283333333","198,0157531","195,03388",13,212
3392,2919,"113,05","-7,283333333","202,4401771","200,9910884",13,212
3393,2919,"113,0833333","-7,283333333","208,3678925","205,9870013",13,212
